accepted_time,package_id,courier_id,city,zone_id,task_type,origin_lat,origin_lng,destination_lat,destination_lng,assigned_time,service_window_start_time,pickup_time,completed_time,promised_delivery_time,aoi_id,aoi_type,ds,courier_workload_2h,acceptance_gap_minutes,pickup_gap_minutes,execution_time_minutes,delay_minutes,is_delayed,delay_category,event_sequence_abnormality_score,time_window_violation_score,workload_pressure_score,distance_km,expected_execution_time_minutes,distance_adjusted_execution_ratio,route_execution_instability_score,operational_exception_severity,severity_class,root_cause_label,service_window_breach,time_to_window_end_minutes,time_to_window_start_minutes,service_window_length_minutes,accept_hour,accept_dayofweek,accept_month,expected_travel_time_minutes,feasibility_margin_minutes,time_pressure_score,distance_feasibility_pressure_score,historical_courier_breach_rate,historical_zone_breach_rate,historical_city_breach_rate,model_risk_rank_score,intervention_urgency_score,intervention_priority
2024-04-30 13:18:00,P-4246133,10266,Yantai,16,pickup,36.7784,121.17547,36.77828,121.17578,2024-04-30 13:18:00,2024-05-01 11:00:00,2024-05-01 10:34:00,2024-05-01 10:34:00,2024-05-01 13:00:00,247,14,501,1,0.0,1276.0,0.0,0.0,False,On Time,0.0,0.0,0.05,0.25,0.6,0.0,0.0,0.0075,Low,No significant delay,0,1422.0,1302.0,120.0,13,1,4,0.6,1421.4,0.0,0.0,0.0128,0.0128,0.0128,0.06025,0.041662500000000005,Low
2024-05-01 07:40:00,P-5077534,317,Chongqing,3,pickup,29.45266,106.47403,29.48809,106.46881,2024-05-01 07:40:00,2024-05-01 09:00:00,2024-05-01 09:14:00,2024-05-01 09:14:00,2024-05-01 11:00:00,337,1,501,1,0.0,94.0,0.0,0.0,False,On Time,0.0,0.0,0.05,3.971913525128538,9.532592460308493,0.0,0.0,0.0075,Low,No significant delay,0,200.0,80.0,120.0,7,2,5,9.532592460308491,190.46740753969152,0.16666666666666663,0.0,0.0128,0.0128,0.0128,0.4137,0.30473833333333333,Low
2024-05-01 07:43:00,P-4853483,992,Yantai,16,pickup,36.77598,121.2152,36.78301,121.20782,2024-05-01 07:43:00,2024-05-01 09:00:00,2024-05-01 09:33:00,2024-05-01 09:33:00,2024-05-01 11:00:00,1121,1,501,1,0.0,110.0,0.0,0.0,False,On Time,0.0,0.0,0.05,1.021303310800966,2.4511279459223183,0.0,0.0,0.0075,Low,No significant delay,0,197.0,77.0,120.0,7,2,5,2.4511279459223183,194.5488720540777,0.1791666666666667,0.0,0.0128,0.0,0.0,0.4438,0.32680333333333333,Low
2024-05-01 07:59:00,P-3781637,317,Chongqing,3,pickup,29.45334,106.47378,29.48821,106.46857,2024-05-01 07:59:00,2024-05-01 09:00:00,2024-05-01 09:28:00,2024-05-01 09:28:00,2024-05-01 11:00:00,337,1,501,2,0.0,89.0,0.0,0.0,False,On Time,0.0,0.0,0.1,3.910033165442288,9.384079597061492,0.0,0.0,0.015,Low,No significant delay,0,181.0,61.0,120.0,7,2,5,9.384079597061492,171.6159204029385,0.24583333333333335,0.0,0.0,0.0,0.0,0.62455,0.4601241666666667,Medium
2024-05-01 08:08:00,P-2054521,1187,Yantai,16,pickup,36.76622,121.2083,36.79201,121.22665,2024-05-01 08:08:00,2024-05-01 09:00:00,2024-05-01 10:53:00,2024-05-01 10:53:00,2024-05-01 11:00:00,432,14,501,1,0.0,165.0,0.0,0.0,False,On Time,0.0,0.0,0.05,3.300707537557619,7.921698090138286,0.0,0.0,0.0075,Low,No significant delay,0,172.0,52.0,120.0,8,2,5,7.921698090138286,164.07830190986172,0.2833333333333333,0.0,0.0128,0.0,0.0,0.6473,0.4799116666666667,Medium
2024-05-01 08:24:00,P-127606,7494,Chongqing,3,pickup,29.48826,106.49711,29.49254,106.476,2024-05-01 08:24:00,2024-05-01 09:00:00,2024-05-01 09:46:00,2024-05-01 09:46:00,2024-05-01 11:00:00,1251,1,501,1,0.0,82.0,0.0,0.0,False,On Time,0.0,0.0,0.05,2.097895539465823,5.0349492947179755,0.0,0.0,0.0075,Low,No significant delay,0,156.0,36.0,120.0,8,2,5,5.0349492947179755,150.965050705282,0.35,0.0,0.0128,0.0,0.0,0.7495,0.5596749999999999,Medium
2024-05-01 08:35:00,P-2078906,10266,Yantai,16,pickup,36.76635,121.21678,36.77866,121.17441,2024-05-01 08:35:00,2024-05-01 17:00:00,2024-05-01 10:26:00,2024-05-01 10:26:00,2024-05-01 19:00:00,247,14,501,1,0.0,111.0,0.0,0.0,False,On Time,0.0,0.0,0.05,4.014433948637828,9.634641476730788,0.0,0.0,0.0075,Low,No significant delay,0,625.0,505.0,120.0,8,2,5,9.634641476730787,615.3653585232693,0.0,0.0,0.0,0.0,0.0,0.06025,0.041662500000000005,Low
2024-05-01 08:41:00,P-2149824,14171,Jilin,9,pickup,44.40724,126.94217,44.39953,126.9575,2024-05-01 08:41:00,2024-05-01 09:00:00,2024-05-01 09:33:00,2024-05-01 09:33:00,2024-05-01 11:00:00,870,14,501,1,0.0,52.0,0.0,0.0,False,On Time,0.0,0.0,0.05,1.48932932013063,3.5743903683135123,0.0,0.0,0.0075,Low,No significant delay,0,139.0,19.0,120.0,8,2,5,3.574390368313512,135.42560963168648,0.4208333333333333,0.0,0.0128,0.0128,0.0128,0.821,0.6203166666666666,High
2024-05-01 08:53:00,P-5759499,317,Chongqing,3,pickup,29.48813,106.46797,29.48896,106.46908,2024-05-01 08:53:00,2024-05-01 13:00:00,2024-05-01 14:00:00,2024-05-01 14:00:00,2024-05-01 15:00:00,337,1,501,3,0.0,307.0,0.0,0.0,False,On Time,0.0,0.0,0.15,0.25,0.6,0.0,0.0,0.0225,Low,No significant delay,0,367.0,247.0,120.0,8,2,5,0.6,366.4,0.0,0.0,0.0,0.0,0.0,0.2207,0.150955,Low
2024-05-01 08:55:00,P-1794515,12381,Yantai,16,pickup,36.76416,121.21994,36.77734,121.1748,2024-05-01 08:55:00,2024-05-01 09:00:00,2024-05-01 10:55:00,2024-05-01 10:55:00,2024-05-01 11:00:00,247,14,501,1,0.0,120.0,0.0,0.0,False,On Time,0.0,0.0,0.05,4.279447885634986,10.270674925523966,0.0,0.0,0.0075,Low,No significant delay,0,125.0,5.0,120.0,8,2,5,10.270674925523966,114.72932507447604,0.47916666666666663,0.04392229104603307,0.0128,0.0,0.0,0.9204,0.7009855624379366,High
